tier,config,mode,non_zeros,k_graph,k_ext,prune_worst,eps_ext,load_s,quant_s,build_s,convert_s,max_dist,evpK,explore_rerank_s,total_s,recall
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,600,30,158.9,434.0,0.8266
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,800,30,211.8,486.9,0.8405
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,1000,30,260.3,535.4,0.8511
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,600,75,181.8,456.9,0.8388
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,800,75,233.0,508.1,0.8551
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,1000,75,280.5,555.6,0.8677
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,600,100,191.4,466.5,0.8389
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,800,100,240.5,515.6,0.8553
C,C_7_kg32_evpk,mode7,512,32,24,11,0.002,35.3,16.0,221.7,1.2,1000,100,288.4,563.5,0.868
D,D_4_kg28_nz384,mode4,384,28,34,10,0.002,41.6,14.5,236.4,0.0,600,50,93.2,386.5,0.8046
D,D_4_kg28_nz384,mode4,384,28,34,10,0.002,41.6,14.5,236.4,0.0,800,50,112.7,406.0,0.8176
D,D_4_kg28_nz384,mode4,384,28,34,10,0.002,41.6,14.5,236.4,0.0,1000,50,129.8,423.1,0.8267
D,D_4_kg28_nz640,mode4,640,28,34,10,0.002,25.9,15.3,224.6,0.0,600,50,92.5,359.1,0.8161
D,D_4_kg28_nz640,mode4,640,28,34,10,0.002,25.9,15.3,224.6,0.0,800,50,112.3,378.9,0.8305
D,D_4_kg28_nz640,mode4,640,28,34,10,0.002,25.9,15.3,224.6,0.0,1000,50,129.5,396.1,0.8404
D,D_4_kg28_nz768,mode4,768,28,34,10,0.002,28.8,13.7,224.3,0.0,600,50,92.2,359.8,0.804
D,D_4_kg28_nz768,mode4,768,28,34,10,0.002,28.8,13.7,224.3,0.0,800,50,111.7,379.3,0.8182
D,D_4_kg28_nz768,mode4,768,28,34,10,0.002,28.8,13.7,224.3,0.0,1000,50,128.9,396.5,0.828
D,D_4_kg32_nz384,mode4,384,32,24,11,0.002,26.7,14.5,230.3,0.0,600,50,89.9,362.3,0.8108
D,D_4_kg32_nz384,mode4,384,32,24,11,0.002,26.7,14.5,230.3,0.0,800,50,108.6,381.0,0.8227
D,D_4_kg32_nz384,mode4,384,32,24,11,0.002,26.7,14.5,230.3,0.0,1000,50,126.1,398.5,0.8317
D,D_4_kg32_nz640,mode4,640,32,24,11,0.002,28.7,15.3,219.6,0.0,600,50,89.2,353.7,0.822
D,D_4_kg32_nz640,mode4,640,32,24,11,0.002,28.7,15.3,219.6,0.0,800,50,107.9,372.4,0.8355
D,D_4_kg32_nz640,mode4,640,32,24,11,0.002,28.7,15.3,219.6,0.0,1000,50,124.9,389.4,0.8456
D,D_4_kg32_nz768,mode4,768,32,24,11,0.002,26.4,13.7,218.0,0.0,600,50,89.4,348.4,0.8095
D,D_4_kg32_nz768,mode4,768,32,24,11,0.002,26.4,13.7,218.0,0.0,800,50,108.2,367.2,0.8228
D,D_4_kg32_nz768,mode4,768,32,24,11,0.002,26.4,13.7,218.0,0.0,1000,50,125.6,384.6,0.8328
